epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0002622808543537641,0.011806471,0.00028276662953944563,0.013508531
1,0.0002626768662080404,0.011859049,0.00019180429031623205,0.010513773
2,0.0002564210031818994,0.011983382,0.0005603181177688335,0.0154254455
3,0.00024565783327622784,0.011606587,0.00015572595787008545,0.010009682
4,0.00025037221056473373,0.011606827,5.845347213372564e-05,0.0059060515
5,0.00024589014834323593,0.011688617,0.002024213207108554,0.03097535
6,0.0002468966897696963,0.011656845,0.00018165310141693333,0.010711785
7,0.00024709512422155456,0.0117118135,0.0007713251422424844,0.02068367
8,0.00024115907755862883,0.011346094,0.0001581107950746396,0.009705282
9,0.0002462516317485658,0.011235788,0.0002166296071097301,0.012167853
10,0.0002370146227506656,0.011269201,4.6127361317019165e-05,0.005205282
11,0.00024188613249307656,0.011479177,0.00010239504893661669,0.008429957
12,0.00023583172909401312,0.011244044,0.0006263199295444357,0.020376844
13,0.00023431896270020738,0.01115343,0.0007096068530867161,0.021113561
14,0.00023435098090846462,0.011379873,0.00041941507914661344,0.015122638
