epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.18843010479434086,0.30765945,0.052162156501245276,0.1643682
1,0.03126146748469143,0.13005483,0.06026875595189824,0.20334129
2,0.014792110339672863,0.091070525,0.013678439797085022,0.097362466
3,0.009641776230331902,0.073185004,0.010068763455575253,0.07871571
4,0.006733950238149523,0.06113385,0.010898832310820897,0.08130405
5,0.004969478305503254,0.053319223,0.0018329772900457291,0.033789568
6,0.003890604047035306,0.04717014,0.004461259997487532,0.052503664
7,0.00322025693095489,0.043011937,0.0047351603300977005,0.056776743
8,0.002767535989169328,0.040019598,0.006025253555003403,0.0555794
9,0.0024202928910701652,0.03749627,0.004320800644713082,0.050566923
10,0.0021172442435051383,0.035156142,0.0007166437078040066,0.021343956
11,0.001968085325764548,0.033834454,0.0012035047823296297,0.025981952
12,0.0018125012160559823,0.03197139,0.002650308125178008,0.036243368
13,0.0016477361762952082,0.030241387,0.004108190337517072,0.04605015
14,0.0015705418223357474,0.029969648,0.0023016114084549086,0.035025604
