epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.00026496575223723066,0.012144449,0.0003579123073838011,0.014558005
1,0.00028045498469868774,0.012166909,0.0010284192178075357,0.022358045
2,0.0002653463970869848,0.012097584,0.0001773389521230695,0.010334031
3,0.0002735496195845022,0.012001095,0.0011973386275427763,0.025898471
4,0.00025734696205661556,0.011824463,0.0018516740249614942,0.03141809
5,0.00027346250196659544,0.012004427,0.0005064712720560461,0.017058332
6,0.00025485461080978534,0.011770494,0.0003327609570602657,0.012575504
7,0.0002553319776752372,0.011714175,0.0005370260520692168,0.017833306
8,0.00025998470464914627,0.011817028,0.00013667560489386463,0.00877941
9,0.0002545729794067875,0.0116834,0.000537575468906832,0.017804863
10,0.0002540858387587563,0.01176497,0.0006302807765151157,0.019271176
11,0.00024989052013640764,0.0115520265,0.00017984627164966308,0.009483619
12,0.0002442012387778029,0.011417541,0.00016978791264380953,0.009058732
13,0.00024172910519210163,0.011372013,0.0007875494444128687,0.02021332
14,0.0002520958956297568,0.011685895,5.934457676196258e-05,0.0061801686
