epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.28388729465818424,0.42073396,0.09437383463759041,0.24740173
1,0.0694172150183905,0.20442538,0.032401416379173105,0.14440593
2,0.03505862863763667,0.14344189,0.10499513984840607,0.24705808
3,0.0211273898450261,0.110391915,0.1548223583373944,0.20386085
4,0.014556633238080595,0.09162471,0.03421759002707581,0.15191716
5,0.010687962823837221,0.07923639,0.031115024786748123,0.14293593
6,0.008520541011240376,0.06902176,0.007019801632049546,0.06495673
7,0.0067232270526296455,0.062031582,0.024975090498454783,0.10072914
8,0.005641098821567502,0.056947105,0.0229902446370568,0.1045191
9,0.004906674194260127,0.052249122,0.022854181751222006,0.11033935
10,0.004214017175286688,0.04879516,0.003242529157659393,0.042534962
11,0.0037337890575229156,0.046051748,0.006585902241392299,0.056364924
12,0.0033098765348920623,0.04401556,0.004856317963761588,0.046327706
13,0.002913845207370448,0.040542133,0.0031935300642715403,0.04516485
14,0.0027314370570108016,0.039599854,0.003403113480378813,0.046298154
