epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0007897913394170667,0.020219136,0.0023131063229743843,0.033669848
1,0.0008189911173431909,0.020590093,0.0009187938430784648,0.022783035
2,0.0007904896930179734,0.019793887,0.003002294418119138,0.035102993
3,0.000808896312313359,0.020495221,0.002729488609731971,0.038250748
4,0.0008020760323903865,0.02034116,0.0007540218847361804,0.020976277
5,0.0007848371328199796,0.020257555,0.0012100380949331747,0.026334383
6,0.000792891731253803,0.020125987,0.0015983044179876916,0.03040184
7,0.0007935642046753058,0.020333402,0.002131624412766405,0.03442306
8,0.000775325249894294,0.019977076,0.0008238674490108143,0.021061918
9,0.0007723609963793033,0.019767186,0.0015577648156820598,0.028208554
10,0.0007628189251523536,0.020015845,0.004268914037060112,0.05031433
11,0.0007918074884127527,0.020105034,0.0038555444110386066,0.04251239
12,0.0007739872345426804,0.020083027,0.0023135243417445653,0.038064867
13,0.0007803677352134716,0.019888321,0.0015893451186046411,0.027214697
14,0.0007447725483588075,0.019622194,0.0019798166393764174,0.034706157
