epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.00021027160350773868,0.010970467,0.000576484069358248,0.017196748
1,0.00020954944555902816,0.010633342,0.0002533747629153224,0.010456987
2,0.00020651388703556774,0.010538109,0.00010265251991295146,0.007522191
3,0.0002083197738758899,0.01070255,0.00017953839825250126,0.0105846645
4,0.00020803417647121848,0.010556071,0.0008391584772370617,0.020515399
5,0.00020053873001013993,0.010478656,0.00019918617815154518,0.010255418
6,0.00020151940023382676,0.0103640435,0.00011754353764744501,0.008349858
7,0.0002017648418910354,0.010565519,0.0009249903343623719,0.026895123
8,0.00020387630426570074,0.010473651,0.00034658504617477836,0.015032723
9,0.00019152506255012793,0.010356716,0.0005099917591831367,0.016458888
10,0.00020110256330300387,0.010389598,0.0004952304059908429,0.017938687
11,0.00019976199252110262,0.010593281,0.00024639237251852976,0.0100893
12,0.00019230403483375735,0.010172696,0.0005680513804861144,0.018234687
13,0.00019935250922805658,0.010422915,0.00022828988649610136,0.012563404
14,0.00019472191986944938,0.010260976,6.3957682411823e-05,0.0061972225
