epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.00038786357385768794,0.014510399,0.0010814261569233896,0.023868717
1,0.00038345342816421927,0.014450803,0.00040218155105588115,0.015059051
2,0.0003682388262496435,0.014394195,0.0017555826280734126,0.033307783
3,0.00037476609259532936,0.014558407,0.001446541819938092,0.029996175
4,0.0003741612990648787,0.014221822,0.00024243334747634746,0.0113406675
5,0.0003594199343923008,0.013839361,0.000353572539314734,0.014772915
6,0.00035583155271406535,0.013901226,0.003200902983578655,0.03940975
7,0.0003471219529851978,0.01367661,0.0003997901910497698,0.014586161
8,0.0003440417690090062,0.013658065,0.0009555139879346463,0.023540987
9,0.0003497884357219239,0.013947006,0.0005255908258642512,0.017133433
10,0.00034388421130752495,0.013359739,0.000119071648137495,0.008621915
11,0.0003393207056709113,0.013669832,0.00035567088741088635,0.012587958
12,0.00033662996939767386,0.01327956,0.00043562726178537735,0.014156297
13,0.0003351358105994033,0.013325026,0.0004926382423233945,0.017550368
14,0.00032921360841764506,0.013309153,0.0010151861734525808,0.023908492
