epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0003175286068960047,0.012998494,0.00024347545225538318,0.01225712
1,0.0003134529244158692,0.01313457,0.0010560363939291627,0.022812277
2,0.0003187899609836507,0.012971445,0.00029964274342383646,0.013350482
3,0.00031123094601515566,0.012985654,0.0007151227508345062,0.01883697
4,0.0003092333977928306,0.012878016,0.0002480482047983191,0.011633
5,0.00030509650037178126,0.012875303,0.0002567837186334684,0.01115278
6,0.0002978564501109138,0.012817212,0.0003740706196710514,0.013971499
7,0.0003012194182500308,0.012693382,0.0008636801789499247,0.023357045
8,0.0002946413755004877,0.012584291,0.001592890049383114,0.030963494
9,0.00029435284880810687,0.012519985,0.0004535264874190026,0.017288843
10,0.0002889443570843566,0.01253728,0.0007499030470325363,0.020206042
11,0.00028495019830875404,0.012491931,0.00044395904198046176,0.01663658
12,0.0002881791615857778,0.012344871,0.00023329804578392505,0.011870256
13,0.0002798322192330899,0.012456025,0.00043327124830580056,0.015825093
14,0.00027586077170569946,0.012307053,5.2959663581255644e-05,0.0056727533
