epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.003173691647641197,0.043747295,0.005420521035140549,0.060891412
1,0.0035344753144233073,0.046833377,0.006496020549471149,0.06971041
2,0.0032100161073009732,0.0443529,0.003456138738799504,0.04433759
3,0.0031356663209564165,0.043745954,0.007170285883544328,0.06371259
4,0.0028153733177018908,0.04094877,0.007705980666206138,0.071561396
5,0.0030937504888499,0.043398228,0.0031900713239580796,0.045898546
6,0.0030627585844385423,0.04337842,0.00457915193996047,0.05621539
7,0.003054111295500075,0.043031495,0.0037084351939769117,0.048770286
8,0.002638581827666636,0.03968633,0.002653711713581643,0.039400756
9,0.003145730717936939,0.04371602,0.002163371743962192,0.035713755
10,0.0027372485303331835,0.040717237,0.0016096054438766584,0.030430535
11,0.00296150144322286,0.042573974,0.0018862207329625057,0.03390622
12,0.0023300889814652824,0.037257113,0.0024625389696014727,0.04013183
13,0.0026704607326522825,0.03995096,0.002124399264939787,0.03713702
14,0.0025727042015407098,0.03937699,0.003624143298456169,0.049168333
