epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0057378516314378954,0.060238943,0.006037701609876173,0.064822726
1,0.005832731829874919,0.061190423,0.00720268757220818,0.06713675
2,0.0057672435391482755,0.060705423,0.0075781197182694885,0.06893008
3,0.005034616414545257,0.056086987,0.006000024847287844,0.059363656
4,0.005410439110941155,0.058775153,0.011142710567116429,0.090438925
5,0.005701641113452949,0.060692236,0.00783496146450092,0.07082
6,0.005307118776084467,0.058293518,0.0084339239676159,0.07926584
7,0.00510571705998607,0.056839515,0.007414787473893983,0.069951825
8,0.0044221286227070205,0.052056216,0.004461997561446882,0.05138695
9,0.0048306840859498185,0.05509649,0.005063621869101842,0.057666797
10,0.004772254370479636,0.054585937,0.006788786074198852,0.066460215
11,0.00412623275810788,0.05024584,0.006512862516070019,0.065000184
12,0.00449258491208208,0.052971918,0.0067188993380680635,0.06440678
13,0.0044967143139793084,0.053064205,0.00398630158238786,0.048938464
14,0.004260359232214283,0.051475696,0.006594517784674777,0.060389385
