epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0007114141095094635,0.019097717,0.0007770473117793128,0.019045917
1,0.0006822240617994685,0.018792858,0.002780280455012215,0.035517044
2,0.000710470907430226,0.01918174,0.0018483219714931997,0.02769769
3,0.000703869507780325,0.019075653,0.00248726726164374,0.038610786
4,0.0006791486706206781,0.018620068,0.0018737584728213763,0.03262816
5,0.0006739952639015986,0.018816035,0.0030738597202403925,0.04319677
6,0.0006924249768250595,0.01891399,0.0009152174348375848,0.01917806
7,0.0006620709723143679,0.01859043,0.0007126619690581421,0.021499453
8,0.0006754514775280364,0.01870474,0.001123826940996555,0.021398421
9,0.0006774907210528702,0.018801605,0.0027597848204354274,0.034872845
10,0.0006715021795291818,0.01859066,0.0014159735553314753,0.027094338
11,0.000676317724140695,0.018571923,0.003838509525272024,0.042295527
12,0.0006772937960545534,0.018408472,0.0014925635935857636,0.026865868
13,0.0006572570130141195,0.018330444,0.0014365050902537932,0.025440412
14,0.0006662157118864109,0.018620078,0.0020072605347972623,0.03448808
