epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0014569377804203698,0.028137196,0.0018870266354357513,0.03381076
1,0.0014045206752182728,0.027751626,0.001730240289816248,0.034748074
2,0.0012684684766133957,0.027048854,0.004168170622258853,0.050057005
3,0.0012477017209640868,0.026207624,0.0013979924040017717,0.028810386
4,0.001142335986826937,0.025064757,0.0018410434920910401,0.029790709
5,0.0010957332544037487,0.024745824,0.002551912503867765,0.03804404
6,0.0010312084115098284,0.023651017,0.000491748781045362,0.016428506
7,0.0009555757122065879,0.02301685,0.0011499674513506647,0.027100047
8,0.0009462165441994054,0.02317807,0.0008126485181067174,0.023630984
9,0.0009060066719724419,0.022510627,0.000728205455175039,0.018858202
10,0.0008482135749235708,0.021776617,0.0016394571088320215,0.03303246
11,0.0008540061640422617,0.021593891,0.0005489135217134331,0.018026201
12,0.0007839018604613721,0.02112532,0.0008736414707199064,0.022180192
13,0.0007774845193961584,0.0204498,0.00044382500252130355,0.017047489
14,0.0007552967900006094,0.020928249,0.00313830803978225,0.03776107
