epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0026611709794457485,0.036680326,0.009266409656441038,0.067346334
1,0.0025085651075306826,0.035589047,0.012083624413204094,0.08402278
2,0.0024434554470721915,0.0354236,0.006547409522725291,0.057857756
3,0.0023617680003951967,0.034994543,0.0071457990233400525,0.05507993
4,0.0023604594630318187,0.034939073,0.003630586879084666,0.038886964
5,0.0022243654892894083,0.033433564,0.01245318800003025,0.07833166
6,0.0022333810637289605,0.033755455,0.007806730275076204,0.06832979
7,0.002149945590492461,0.032986365,0.00276225717182306,0.03780882
8,0.0020856538909906643,0.03308225,0.004792469969504781,0.05216711
9,0.0020841651563307173,0.0327619,0.005216974366131322,0.0501425
10,0.002065636151168055,0.032671522,0.0022387494356540705,0.036585297
11,0.0019486619212286337,0.031705897,0.0038897836783239356,0.045251228
12,0.001981035959696983,0.031884454,0.007110751944817487,0.06330264
13,0.0019240503340297035,0.031622063,0.0030854363123178365,0.03814548
14,0.0018463304045101606,0.03096953,0.0030016725084300493,0.039349537
