epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0003066412182441479,0.013101687,0.000268459244528355,0.013738932
1,0.000306856030438642,0.01304213,0.0007957768451404562,0.019391062
2,0.0003166661938939259,0.013130045,0.00042147635416851136,0.014062772
3,0.0003032453714991592,0.013041516,0.00060051025309951,0.017746437
4,0.00029884759025373996,0.012927826,0.0001766807105629642,0.010630677
5,0.0002971182132805615,0.012687401,0.0005303702016408446,0.018181412
6,0.00029302517037205276,0.012714726,0.0012361142577154722,0.026273383
7,0.00028910427029127004,0.012304187,0.00014442261499661622,0.008818893
8,0.00028687708708708326,0.012484835,0.00024260481604813043,0.012210201
9,0.00028295648165620115,0.012566442,0.0005131139620526395,0.01660502
10,0.00028837257888576117,0.012675131,0.000486344296213429,0.016634965
11,0.00027565309722684257,0.012418574,0.0003063600671865425,0.012687782
12,0.00028832870611006367,0.012636352,9.2124830984495e-05,0.0073075183
13,0.00026910826822451074,0.012209961,0.0004432932914696551,0.01559991
14,0.00027660419539235226,0.012339365,0.00012069402416640466,0.008607658
