epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.00036518685892008706,0.01416049,0.00013970336425443337,0.009349087
1,0.0003581112475028395,0.013992166,0.0003930616478661998,0.013955823
2,0.0003574910009878926,0.013943113,0.0002277101516573248,0.011146713
3,0.00035739918521929335,0.014132803,0.00014581791674856073,0.009923808
4,0.00034784915514921206,0.013815855,0.0004484791221964605,0.017406669
5,0.00034563705039832477,0.0136394305,0.0005041299164955246,0.01515596
6,0.0003518501788959488,0.013998908,0.0010328329048006576,0.021611748
7,0.0003450458421311793,0.014072019,0.0004729924193471728,0.017333616
8,0.00033397017118459883,0.013592993,0.0003955443790458096,0.013690715
9,0.00033161239535004877,0.013469113,0.0004964512010053698,0.016235307
10,0.0003219877242392493,0.013399137,0.0005390536450966613,0.017818049
11,0.0003203565007728518,0.013302872,0.0006528655997623021,0.018222256
12,0.00031769083604680213,0.013415202,0.0008627266541117588,0.021376159
13,0.0003172035789055184,0.013173263,0.0001870135161135953,0.009996452
14,0.00031877911504167437,0.013201758,0.0006518955066846539,0.017041298
