epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.07458076381838297,0.1871378,0.1214076535909718,0.25917143
1,0.02319261912089396,0.10950061,0.0077072666582737506,0.067971125
2,0.015836793600757085,0.093065314,0.021538163279981072,0.10555689
3,0.012914085196027526,0.08352348,0.01608250493852002,0.09333144
4,0.010870007534137737,0.07557188,0.008754110504870195,0.0705742
5,0.009227184392989819,0.06949054,0.02482642525824431,0.11865413
6,0.008063856579951878,0.065909214,0.0208931564046834,0.118773736
7,0.007093057173765505,0.061884798,0.08108393202689577,0.19284129
8,0.006716335688104194,0.058889277,0.04860128430206704,0.12910712
9,0.006231011215506576,0.056666177,0.007614827000653045,0.06743772
10,0.005641829175292709,0.054263104,0.014702985817537501,0.092783615
11,0.005312241970501282,0.052709408,0.008205791242877148,0.07080918
12,0.004861563333606011,0.050576236,0.0089607535535518,0.067047015
13,0.004622978001810518,0.049228612,0.015278051097646185,0.09063399
14,0.004485658369802539,0.04859799,0.015942020096109167,0.09072105
