epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.8225672940540617,0.7573201,0.6509204965514186,0.6855769
1,0.49616600498083274,0.60007817,0.2992834312336467,0.45652235
2,0.25435793584101063,0.4195738,0.24613103576909715,0.40919325
3,0.2003988058794746,0.36528075,0.20462308995046596,0.36046302
4,0.12922076712851144,0.29354385,0.10056279561756061,0.2602728
5,0.08683265164173648,0.23989204,0.12384137297716467,0.26475397
6,0.06180996025313853,0.20293638,0.06891651056234958,0.21351616
7,0.04754164217377226,0.17791937,0.06124651172853086,0.20105584
8,0.03750802347238915,0.1579299,0.02971659743479479,0.14071177
9,0.03134326906618125,0.14442544,0.03430670941478707,0.15238409
10,0.02793812978620789,0.1365526,0.02450407058801328,0.12952344
11,0.0247971446876908,0.12826306,0.01682304826914212,0.103967905
12,0.022153238773792334,0.12162817,0.01609703903265398,0.100906245
13,0.02009823427878592,0.115514964,0.023236775724362363,0.12112964
14,0.018911113608934,0.11221484,0.013081689853596415,0.09182743
