epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0002423464720197281,0.011559616,0.0003858653120459604,0.0150958365
1,0.0002358735077903772,0.011227433,0.0005198998174481171,0.016281513
2,0.00024380385520013676,0.011404166,0.00040243894194757135,0.014670006
3,0.0002366940269617543,0.011186778,0.00048012956773798416,0.017942771
4,0.0002254571495037504,0.010954469,0.0008954507811817022,0.02696358
5,0.00023738959857351927,0.011228133,0.00041137340707440406,0.015293295
6,0.00023470537711463662,0.011326277,0.0005552960392416514,0.014640417
7,0.00022628552809099536,0.01109795,0.0014413067222251784,0.024988543
8,0.00023235414778012865,0.011213234,3.9844020695382894e-05,0.004883425
9,0.00022383372344157265,0.011216402,0.00045724205773319904,0.016550845
10,0.0002222084329726895,0.011019037,0.001033592026160647,0.022287296
11,0.00022121108487940653,0.010878565,0.0013747543052055507,0.026514255
12,0.00023049687582168832,0.011281518,0.0008965304061172768,0.023878343
13,0.00021908515967088108,0.0109328795,6.998641064524967e-05,0.00646554
14,0.0002202379283162633,0.010949129,0.00023236729468553602,0.010572677
