epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0010597413096339605,0.023614036,0.003851083132195618,0.044570103
1,0.001053958269107651,0.023520432,0.00337549477650253,0.040407985
2,0.00103184039724296,0.023427611,0.0031609377448533122,0.03642096
3,0.0010160784177391936,0.023164937,0.006263071215500705,0.04851171
4,0.001024677041845512,0.023203822,0.0042044910128873425,0.04194525
5,0.0010267081073125068,0.02331448,0.00397558966354174,0.045221277
6,0.0010240717323852925,0.023043685,0.005356739149917292,0.052327886
7,0.0010322721193271394,0.023387268,0.002048702653896872,0.02993882
8,0.001034821264888843,0.023130387,0.002526109881369302,0.039529536
9,0.0009682258159365828,0.022683594,0.002866411226163768,0.038939442
10,0.00098215787764588,0.022756608,0.0011685361899774007,0.025515921
11,0.0010066197226189233,0.023003103,0.0036242601313257856,0.043657374
12,0.0009784538951130874,0.022792125,0.00216712468042138,0.03362391
13,0.001007587985146733,0.022808138,0.00360344633167979,0.0440782
14,0.0009861433152020024,0.022743667,0.0018182685262661887,0.028948061
