epoch,loss,mae,val_loss,val_mae
0,0.01183200882271925,0.055884168,0.000781757862697257,0.02200542
1,0.0004873665530841444,0.017340593,0.0004332864106275932,0.016348368
2,0.000277564288332796,0.0130347805,0.00027763507523283107,0.0132307885
3,0.00022993337218451865,0.011848246,0.00023561552988783096,0.012449475
4,0.00016455668569158037,0.010026434,0.0002175986614706709,0.011313289
5,0.00013767098820302963,0.009134598,0.00023743014038344652,0.012802833
6,0.0001364840977967611,0.00908898,9.071345908850026e-05,0.0075415736
7,0.00010369607063639718,0.008027273,9.067105362580791e-05,0.00747206
8,0.00010718147381293641,0.007927279,8.788776383390096e-05,0.007317988
9,9.547617674413039e-05,0.0076423422,5.948552177769519e-05,0.006056494
10,8.681070669009e-05,0.0072601163,6.700593395394497e-05,0.0062470064
11,0.00011900681987292799,0.008065068,0.00010115814481266682,0.00819529
12,6.164605363666675e-05,0.0060992455,0.00017381132664126878,0.009933187
13,8.618954350272291e-05,0.007213393,9.364749394430666e-05,0.007904461
14,0.00010646458632116273,0.007647338,5.7477298430856245e-05,0.0060260314
