epoch,loss,mae,val_loss,val_mae
0,0.007802946905457935,0.044678573,0.000632474888211366,0.01954284
1,0.0005075360528838702,0.01767338,0.0005838819679613846,0.019841718
2,0.0003227115738631522,0.014062334,0.00017852059701938935,0.010591883
3,0.0002283689524926877,0.01163335,0.00019445307502481007,0.0110099325
4,0.00018318055355476582,0.0103618875,0.0001486858707404163,0.010025516
5,0.00010099056400960313,0.007818827,0.00011120653449713886,0.0082443645
6,0.00012303674237805706,0.008626838,0.00017967193527533811,0.010978558
7,0.0001662405864473861,0.009869451,0.0005173826073973454,0.019332029
8,0.00018255889489468335,0.009895199,0.00012487882004489495,0.00888159
9,0.0001119716317979902,0.007756153,4.9932106135439646e-05,0.0055034673
10,4.92904069050772e-05,0.0053868107,5.185439351452635e-05,0.005850945
11,4.501850836621336e-05,0.0051820683,4.0872354657482016e-05,0.004908075
12,0.0001805759437488909,0.0095827,5.1323832373151345e-05,0.005704821
13,0.0001114335368275943,0.0072019845,4.463614552947236e-05,0.005327398
14,6.483626787187208e-05,0.0060747038,4.7120069129300655e-05,0.005406401
